device_id,event_time,latitude,longitude,city,region,country,two_letter_country,postal_code,timezone_name,gmt_offset
visitor_9,2026-03-01 09:30:00,32.77675284442463,-96.79669658424811,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_3,2026-03-01 09:30:00,25.761543879332677,-80.19159409396785,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_3,2026-03-01 09:30:00,32.77640583224882,-96.79674503425133,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_4,2026-03-01 09:30:00,33.74938167235896,-84.3883730875039,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_5,2026-03-01 09:30:00,39.739175922955155,-104.98997562025157,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 09:30:00,39.73907724127089,-104.99065307135712,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 09:30:00,32.776773959822414,-96.79700706337935,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_1,2026-03-01 09:30:00,25.76152752190612,-80.19151276689196,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 09:30:00,39.73950941032105,-104.99017977053332,Denver,co,usa,us,80202,Mountain Time,-07:00
person_B,2026-03-01 09:30:00,35.266211077445625,-105.96914254305433,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_B,2026-03-01 09:30:00,39.73946162660422,-104.99048801755019,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 09:30:00,25.761627297900066,-80.19179078328095,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_7,2026-03-01 09:30:00,32.77670013949156,-96.79707837476484,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_10,2026-03-01 10:00:00,39.73881702958782,-104.99064427098848,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_6,2026-03-01 10:00:00,39.738988667835976,-104.99027456588877,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_6,2026-03-01 10:00:00,32.77673131630964,-96.79697412331244,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_10,2026-03-01 10:00:00,39.73952609213144,-104.99016080834167,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 10:00:00,33.749376976465825,-84.38819372760867,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_4,2026-03-01 10:00:00,32.77707248970184,-96.79688353451772,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_7,2026-03-01 10:00:00,32.77701414315556,-96.79661943184662,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_9,2026-03-01 10:00:00,25.761908931360477,-80.19178139720644,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 10:00:00,39.73927643135658,-104.99053736823012,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_3,2026-03-01 10:00:00,32.7764855826913,-96.79702829381917,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_8,2026-03-01 10:00:00,39.73923100589702,-104.99011026025302,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 10:00:00,33.74900193315415,-84.38775888702406,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_9,2026-03-01 10:00:00,32.77680525721842,-96.79683484092243,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_5,2026-03-01 10:00:00,39.73899766379554,-104.98998180666291,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 10:00:00,18.300166008512296,-64.82461702156081,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_1,2026-03-01 10:00:00,39.73882773864083,-104.98997078651533,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 10:00:00,39.73891474940482,-104.99033135756497,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 10:00:00,25.761908170080716,-80.19176808811574,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_2,2026-03-01 10:00:00,33.74878611240996,-84.38793665557115,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
person_B,2026-03-01 10:00:00,35.266543598832115,-105.96967578514591,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_1,2026-03-01 10:00:00,25.761383284996583,-80.19172632348557,Miami,fl,usa,us,33101,Eastern Time,-05:00
person_B,2026-03-01 10:00:00,39.738963485416576,-104.99003556775915,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 10:30:00,39.738871439980166,-104.990315359705,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 10:30:00,32.77706555835043,-96.79680354431284,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_8,2026-03-01 10:30:00,39.73908957320782,-104.99005338834122,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 10:30:00,25.762035370149178,-80.19190157729531,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 10:30:00,39.73940939059232,-104.99003478364465,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_1,2026-03-01 10:30:00,25.7618349053052,-80.19169044227472,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_5,2026-03-01 10:30:00,39.73951926254776,-104.99026765121252,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 10:30:00,32.77700071861672,-96.79662540291045,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_6,2026-03-01 10:30:00,39.7394439729103,-104.99032081975753,Denver,co,usa,us,80202,Mountain Time,-07:00
person_B,2026-03-01 10:30:00,35.266439018800256,-105.96942041319333,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_6,2026-03-01 10:30:00,32.776372394495226,-96.79730623357393,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 10:30:00,39.739201358749035,-104.99046591253588,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_9,2026-03-01 10:30:00,32.7765570716874,-96.79692440810159,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_9,2026-03-01 10:30:00,25.761902398388354,-80.19172294609588,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_4,2026-03-01 10:30:00,33.749263184905026,-84.38767298192323,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_10,2026-03-01 10:30:00,39.73934730997208,-104.98995648785262,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 10:30:00,33.74861082058649,-84.38807591506237,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
person_A,2026-03-01 10:30:00,18.30049187632703,-64.82499436484481,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_3,2026-03-01 10:30:00,32.777074031756456,-96.79697121882394,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_10,2026-03-01 10:30:00,39.7392932500947,-104.99054542784937,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 10:30:00,33.74871538254749,-84.38829535781078,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_1,2026-03-01 10:30:00,39.73947476875059,-104.99062703090411,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_9,2026-03-01 11:00:00,32.7768931558117,-96.7973453052811,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_6,2026-03-01 11:00:00,32.776933996626326,-96.79697062252468,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_10,2026-03-01 11:00:00,39.73926445652289,-104.99048966724898,Denver,co,usa,us,80202,Mountain Time,-07:00
person_B,2026-03-01 11:00:00,35.266197314625856,-105.96923429114797,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_6,2026-03-01 11:00:00,39.739493425876546,-104.99053766575142,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 11:00:00,33.74891857209866,-84.38791356589232,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_4,2026-03-01 11:00:00,32.77653107561159,-96.79705644785713,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_7,2026-03-01 11:00:00,32.77663188083647,-96.79710793798823,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_1,2026-03-01 11:00:00,39.738857029328344,-104.99040183706597,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 11:00:00,18.30014721590371,-64.82479181862487,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_8,2026-03-01 11:00:00,39.73939410176917,-104.99031269792512,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 11:00:00,33.749256217393544,-84.38760473603037,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_9,2026-03-01 11:00:00,25.761561130810904,-80.19164731826669,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_3,2026-03-01 11:00:00,32.776937498197505,-96.79694017404795,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 11:00:00,39.739358284980156,-104.99029616982544,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 11:00:00,25.761444776527807,-80.19209760162717,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_7,2026-03-01 11:00:00,33.748651794495764,-84.38780232073069,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_9,2026-03-01 11:30:00,25.761506250487407,-80.19200933921518,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 11:30:00,39.73880088875953,-104.99068439307862,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 11:30:00,25.762094617889485,-80.19188240084473,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_7,2026-03-01 11:30:00,33.74872604325264,-84.38767318205072,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_10,2026-03-01 11:30:00,39.73912813617897,-104.99067713261452,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_9,2026-03-01 11:30:00,32.77658115214556,-96.79705611956778,Dallas,tx,usa,us,75201,Central Time,-06:00
person_A,2026-03-01 11:30:00,18.30076151436609,-64.82521210454068,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_7,2026-03-01 11:30:00,32.77630978069252,-96.79689013293262,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 11:30:00,35.26640076459316,-105.96925032782656,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_4,2026-03-01 11:30:00,32.776951865886936,-96.79719299815267,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_6,2026-03-01 11:30:00,32.776736397915016,-96.7968796072953,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 11:30:00,39.73886355772627,-104.99000368136704,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 11:30:00,33.749295228837276,-84.3882699719772,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_2,2026-03-01 11:30:00,33.74884147897753,-84.38838207259508,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_6,2026-03-01 11:30:00,39.73920213236792,-104.9899162294384,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_1,2026-03-01 11:30:00,39.738992620423105,-104.99027354221971,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_3,2026-03-01 11:30:00,32.77664912126788,-96.79665090137564,Dallas,tx,usa,us,75201,Central Time,-06:00
person_A,2026-03-01 12:00:00,25.76145188153905,-80.1921487692657,Miami,fl,usa,us,33101,Eastern Time,-05:00
person_B,2026-03-01 12:00:00,39.738817511993325,-104.99008772072172,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 12:00:00,32.77707372115468,-96.79691361300755,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_9,2026-03-01 12:00:00,25.761435819217976,-80.19186416974435,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 12:00:00,39.738814419878395,-104.99064613393625,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 12:00:00,33.748709992832914,-84.3879092417591,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_10,2026-03-01 12:00:00,39.73925637820807,-104.99007567427559,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 12:00:00,18.300866390912176,-64.8247331882327,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_B,2026-03-01 12:00:00,35.26652042651273,-105.96938985801985,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_7,2026-03-01 12:00:00,33.74914194497387,-84.38809563737382,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_3,2026-03-01 12:00:00,32.776479242599606,-96.79672354919325,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_6,2026-03-01 12:00:00,32.77678521991436,-96.79673837492159,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_9,2026-03-01 12:00:00,32.77650766975412,-96.79680909865534,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_6,2026-03-01 12:00:00,39.73894426160747,-104.98995823479906,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_1,2026-03-01 12:00:00,39.73935643474289,-104.99018468000645,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_9,2026-03-01 12:30:00,25.761571255493244,-80.19162153685741,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_6,2026-03-01 12:30:00,32.77663637119623,-96.79717689435181,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_3,2026-03-01 12:30:00,32.7765594504886,-96.7970686161652,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_9,2026-03-01 12:30:00,32.776763684545585,-96.79705975823363,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_4,2026-03-01 12:30:00,32.776340803021284,-96.79737000291277,Dallas,tx,usa,us,75201,Central Time,-06:00
person_A,2026-03-01 12:30:00,18.300375918318174,-64.82539926409275,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_6,2026-03-01 12:30:00,39.738953777289176,-104.99032940947117,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_1,2026-03-01 12:30:00,39.73917169164392,-104.99015916220966,Denver,co,usa,us,80202,Mountain Time,-07:00
person_B,2026-03-01 12:30:00,39.73906992842602,-104.99059536119147,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 12:30:00,25.7619533582348,-80.1915857838322,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 12:30:00,39.739210543207705,-104.99065019881469,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 12:30:00,33.748881608650926,-84.38784331356712,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_10,2026-03-01 12:30:00,39.73927934984387,-104.9900852566201,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 12:30:00,33.748642565872764,-84.38779458943515,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
person_B,2026-03-01 12:30:00,35.26642461616613,-105.96920629104613,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_B,2026-03-01 13:00:00,35.266751403598455,-105.96974663898796,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_4,2026-03-01 13:00:00,32.776668267990175,-96.797070575054,Dallas,tx,usa,us,75201,Central Time,-06:00
person_A,2026-03-01 13:00:00,18.30019911771491,-64.8248772201653,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_6,2026-03-01 13:00:00,32.776911616867004,-96.7969904351537,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 13:30:00,35.26650057682927,-105.9698470631089,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_6,2026-03-01 13:30:00,32.77636349141411,-96.79736337544286,Dallas,tx,usa,us,75201,Central Time,-06:00
person_A,2026-03-01 13:30:00,18.300870444926122,-64.82498572510033,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
visitor_4,2026-03-01 13:30:00,32.7770181273796,-96.79694126673417,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 14:00:00,35.26625015682469,-105.96981688714828,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_A,2026-03-01 14:00:00,18.300282764869007,-64.82520215077611,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_A,2026-03-01 14:30:00,18.300212256596964,-64.8251139438837,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_B,2026-03-01 14:30:00,35.26682406056424,-105.96928458484737,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_B,2026-03-01 15:00:00,35.26631335331091,-105.96957530781792,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_A,2026-03-01 15:00:00,18.300426768151606,-64.82528252488501,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_A,2026-03-01 15:30:00,18.300329336695015,-64.82524166100204,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_B,2026-03-01 15:30:00,35.26635373794095,-105.96927213383182,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_A,2026-03-01 16:00:00,18.300784975766366,-64.82517932437392,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_B,2026-03-01 16:00:00,35.26673805238212,-105.96932619580795,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
person_A,2026-03-01 16:30:00,18.300343831080223,-64.82515885112157,Charlotte Amalie,vi,usa,us,00802,Atlantic Standard Time,-04:00
person_B,2026-03-01 16:30:00,35.26678416051685,-105.96967946997057,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_4,2026-03-01 22:00:00,33.749008075703806,-84.38804473340072,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_5,2026-03-01 22:00:00,32.776316571770025,-96.79720197704667,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_1,2026-03-01 22:00:00,25.76192925002151,-80.19144452958342,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_6,2026-03-01 22:00:00,39.739448901095415,-104.9905053679132,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 22:00:00,33.749220653510655,-84.3880269008975,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_8,2026-03-01 22:00:00,39.73886874343364,-104.99011728666473,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_9,2026-03-01 22:00:00,25.76193049389643,-80.19141707116981,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_10,2026-03-01 22:00:00,39.73921785054358,-104.99065088057026,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 22:00:00,25.761644430923383,-80.19208929010051,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_3,2026-03-01 22:00:00,25.7617897090686,-80.19205193571017,Miami,fl,usa,us,33101,Eastern Time,-05:00
person_B,2026-03-01 22:00:00,39.739447749217256,-104.99060588431541,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 22:00:00,33.749277821001485,-84.38794055859263,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_8,2026-03-01 23:00:00,39.7389953299422,-104.99066788745287,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_9,2026-03-01 23:00:00,25.76185233276186,-80.19163250438385,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_6,2026-03-01 23:00:00,39.7393617233192,-104.9903748456433,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 23:00:00,32.77703961800095,-96.79683706438807,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_10,2026-03-01 23:00:00,39.7391707836978,-104.99051293799344,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 23:00:00,33.749261489892035,-84.38777864258618,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_3,2026-03-01 23:00:00,25.761941460106605,-80.19153178777171,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_7,2026-03-01 23:00:00,33.74932364126453,-84.3876257474845,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
person_B,2026-03-01 23:00:00,39.739046911339166,-104.99019708923663,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 23:00:00,25.76207890301033,-80.19187139134975,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_2,2026-03-01 23:00:00,33.74934105881859,-84.38766194197798,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_1,2026-03-01 23:00:00,25.7616826431854,-80.19164635921445,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_10,2026-03-02 00:00:00,39.7393497075025,-104.99042979193361,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-02 00:00:00,25.76204274143221,-80.19141155001986,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_9,2026-03-02 00:00:00,25.761324223111583,-80.19211869189488,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-02 00:00:00,39.73890425593753,-104.9902025754121,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-02 00:00:00,33.74929825617649,-84.38826682214302,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
person_B,2026-03-02 00:00:00,39.73955723698733,-104.99056353250103,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_6,2026-03-02 00:00:00,39.7388944503923,-104.99060583100491,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-02 00:00:00,32.776992151957636,-96.7973991909819,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_2,2026-03-02 00:00:00,33.74909443663342,-84.38795468975665,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_1,2026-03-02 00:00:00,25.761645788468563,-80.19206526349797,Miami,fl,usa,us,33101,Eastern Time,-05:00
